Depth,CorrectedPorosity,TOC,Quartz,Calcite
6760.15,3.84,3.42,39.3,18
6762.3,4.65,4.56,50,9.4
6765,4.39,2.78,21.6,7.9
6769.1,3.46,2.91,29.3,7.6
6771.8,3.86,1.53,43.1,7.8
6773.9,3.77,2.06,26.7,15.4
6775.1,4.6,3.52,31,0
6780.6,4.16,2.47,16,8.7
6782.2,2.49,2.32,24.8,19.8
6784.3,2.99,3.66,20.2,11.9
